member_id,subscriber_id,policy_number,ssn,last_name,first_name,middle_initial,date_of_birth,gender,street_address,city,state,zip_code,country,phone,email,coverage_status,medicare_plan,plan_id,plan_name,plan_type,effective_date,termination_date,termination_reason,relationship_code,transaction_type,action_code,sponsor_id,insurance_line
SUBNHKBH19R,SUBNHKBH19R,POL76174031,477-24-6180,Ortiz,Larisa,,1972-05-02,M,952 Gellert Highway,Morgantown,OH,36903,US,+17036177969,february2098@outlook.com,A,C,DH-P3156C,Silver Plan,HMO,2024-06-26,,,18,001,2,SPON114461,HLT
SUBDOFCCER3,SUBDOFCCER3,POL97791892,284-19-4443,Key,Hien,,2001-06-10,M,900 Carver Street,West Springfield,NY,09602,US,+1-224-390-3706,governing1842@outlook.com,A,,DH-P3109C,Catastrophic Plan,HDHP,2025-09-28,,,18,030,4,SPON482685,HLT
SUB5RGZWWPN,SUB5RGZWWPN,POL24528764,766-68-4427,Bates,Robby,,1954-11-19,F,1119 Park Presidio Heights,Grand Forks,NY,74861,US,+1-650-461-2265,gateway1809@live.com,A,,DH-P3678B,Gold Plan,PPO,2024-10-18,,,18,030,4,SPON905289,HLT
SUBSRTMWV39,SUBSRTMWV39,POL01100719,571-31-6372,Tyson,Dominica,,,F,403 Hemway Hill,Moore,CO,33883,US,+14081264739,morrison2065@example.org,A,,DH-P8768B,Bronze Plan,HDHP,2025-04-26,,,18,030,2,SPON645880,HLT
SUBEJ7TBLAO,SUBEJ7TBLAO,POL06455878,612-11-9609,Joseph,Randall,,2002-05-11,F,856 Towerside Bridge,Ocoee,MS,18261,US,+1-762-849-0742,salary1961@yandex.com,A,E,DH-P3678B,Gold Plan,PPO,2024-09-09,,,18,030,4,SPON476483,HLT
SUBADV1D68O,SUBADV1D68O,POL74048117,545-98-9083,Farmer,Kimberli,,1951-10-31,O,971 Virgil Expressway,Worcester,LA,25062,US,+1-720-655-1836,badly1881@example.com,P,,DH-P3156C,Silver Plan,HMO,2025-04-27,,,18,021,2,SPON553610,HLT
SUBPOLJ98HT,SUBPOLJ98HT,POL97546775,562-19-5404,Swanson,Tom,,2004-11-03,F,1089 Linares Hill,Torrington,TX,22415,US,+12124403365,hong2031@yahoo.com,A,C,DH-P3156C,Silver Plan,HMO,2024-06-13,,,18,001,4,SPON871207,HLT
SUBKCXFDVD3,SUBKCXFDVD3,POL05468907,526-05-1069,Barr,Clemente,,2004-10-03,M,1373 Wattson Green,Norwich,SD,34010,US,+19250363778,died2029@yahoo.com,A,,DH-P3091B,Platinum Plan,EPO,2024-06-19,,,18,030,4,SPON913111,HLT
SUBYYAFHAHQ,SUBYYAFHAHQ,POL05379640,436-05-9073,Burris,Shela,,1992-12-04,F,1290 Bromley Freeway,Saco,NM,43519,US,+1-541-655-4140,andy1846@example.com,A,,DH-P3678B,Gold Plan,PPO,2025-11-22,,,18,024,2,SPON754678,HLT
SUBLP7AKSSB,SUBLP7AKSSB,POL05219362,427-15-0481,Perry,Andrea,,1974-01-22,M,447 Caledonia Boulevard,Marshfield,OH,92235,US,+1-408-219-6813,vista2035@outlook.com,A,,DH-P3109C,Catastrophic Plan,HDHP,2025-09-24,,,18,021,2,SPON274085,HLT
SUBY1YGC8RM,SUBY1YGC8RM,POL79651808,609-59-8797,Foley,Merideth,,1985-05-07,F,1383 Hotaling Stravenue,Manitowoc,IN,11165,US,+19578401840,discipline1878@duck.com,A,,DH-P3678B,Gold Plan,PPO,2025-06-26,,,18,021,4,SPON464130,HLT
SUBECTH3W20,SUBECTH3W20,POL45493260,888-23-2239,Watson,Pei,,2006-06-19,M,996 Nauman Drive,Sachse,MO,16494,US,+12088404609,representative1950@protonmail.com,A,E,DH-P3109C,Catastrophic Plan,HDHP,2024-01-08,,,18,001,4,SPON275450,HLT
SUBP4X1F9YV,SUBP4X1F9YV,POL86848797,851-86-7624,Ramirez,Leif,,1981-09-23,M,1066 Maynard Arcade,Santa Barbara,ND,75313,US,+19067089672,cylinder1894@yahoo.com,A,,DH-P3091B,Platinum Plan,EPO,2024-06-26,,,18,021,2,SPON145532,HLT
SUBFVN3XJC3,SUBFVN3XJC3,POL70285453,423-50-9728,Ortiz,Heidy,,1969-06-15,M,1366 Lindsay Glen,Brea,MT,66872,US,+1-352-719-9141,slide1913@yahoo.com,A,,DH-P3678B,Gold Plan,PPO,2024-02-15,,,18,021,4,SPON433892,HLT
SUBUGXWH1AI,SUBUGXWH1AI,POL80027556,540-68-6857,O'neal,Josiah,,1979-11-09,M,528 Jessie Garden,Elizabethtown,IN,02704,US,+14256824446,bleeding2064@example.com,A,,DH-P3109C,Catastrophic Plan,HDHP,2025-07-03,,,18,024,4,SPON228764,HLT
SUBPKTEU0CV,SUBPKTEU0CV,POL29374329,173-84-3835,Zimmerman,Gustavo,,1998-11-06,F,1038 Moffitt Stravenue,Providence,HI,70923,US,+19206803424,photos1837@example.org,A,,DH-P3678B,Gold Plan,PPO,2024-06-08,,,18,021,2,SPON169225,HLT
SUB99059UG4,SUB99059UG4,POL11188981,865-38-9189,Wong,Roseline,,1964-02-08,M,715 Cityview Gardens,Calumet City,FL,45890,US,+19148932566,amendments2000@example.org,A,B,DH-P3109C,Catastrophic Plan,HDHP,2024-07-03,,,18,021,2,SPON644929,HLT
SUB4JDZXQO4,SUB4JDZXQO4,POL28222003,563-88-4767,Garza,Jack,,1991-08-10,M,940 Westside Pass,Hoffman Estates,MT,91057,US,+17602831007,karaoke1806@gmail.com,A,,DH-P3091B,Platinum Plan,EPO,2025-11-15,,,18,021,2,SPON056133,HLT
SUBG8JXN6HK,SUBG8JXN6HK,POL21333704,186-16-0040,Newman,Otis,,1973-09-14,M,193 Hopkins Green,Dania Beach,GA,58201,US,+12568889577,convertible1944@duck.com,A,,DH-P8768B,Bronze Plan,HDHP,2023-12-31,,,18,021,2,SPON456386,HLT
SUBM7FQN572,SUBM7FQN572,POL02821772,407-75-7451,Pacheco,Natashia,,1980-06-09,F,1075 Bayview Park Stravenue,Waynesboro,MN,71890,US,+1-616-882-5672,acquired1954@yandex.com,A,,DH-P3091B,Platinum Plan,EPO,2024-05-04,,,18,001,2,SPON952537,HLT
SUBZ6VL6J89,SUBZ6VL6J89,POL63940814,777-32-7288,Ruiz,Dorsey,,1994-07-04,M,268 Berkeley Motorway,Rolling Meadows,AZ,09642,US,+12053780608,officials2011@duck.com,A,,DH-P3156C,Silver Plan,HMO,2025-05-14,,,18,021,2,SPON923790,HLT
SUBU7FLTCSP,SUBU7FLTCSP,POL26060690,823-82-8959,Blair,Hertha,,1985-02-03,F,539 Blake Crossing,Galt,MI,41413,US,+1-341-613-7485,rfc1968@yahoo.com,A,,DH-P3109C,Catastrophic Plan,HDHP,2025-10-10,,,18,030,4,SPON265979,HLT
SUBSSPJMP6E,SUBSSPJMP6E,POL31690748,178-68-1926,Duffy,Walter,,1995-10-23,M,1261 Sproule Lake,Darien,NE,26878,US,+1-440-308-3890,recreation2065@duck.com,A,,DH-P3678B,Gold Plan,PPO,2024-05-09,,,18,021,4,SPON243369,HLT
SUBL41R3KO2,SUBL41R3KO2,POL24705591,474-34-3245,Cabrera,Moises,,1986-05-31,M,34 Maywood Drive,Bixby,SD,86671,US,+16183838318,unlimited2046@yandex.com,A,,DH-P3156C,Silver Plan,HMO,2024-01-20,,,18,021,4,SPON083775,HLT
SUB0VC03C3L,SUB0VC03C3L,POL60758812,266-56-1407,Boone,Izetta,,1935-05-27,F,809 Plymouth Pass,Ozark,SD,51569,US,+1-810-993-9405,womens1979@gmail.com,T,A,DH-P3678B,Gold Plan,PPO,2025-03-15,2025-08-04,25,18,001,2,SPON782473,HLT
SUBJSV4HRYK,SUBJSV4HRYK,POL89190876,417-76-3332,Burks,Serafina,,1985-04-23,M,241 La Grande Glen,Clovis,KY,08916,US,+19389149567,construction1827@outlook.com,V,B,DH-P3678B,Gold Plan,PPO,2025-08-31,,,18,021,4,SPON814821,HLT
SUBMUNLFDUA,SUBMUNLFDUA,POL29735052,719-33-6695,Mclean,Shawn,,1973-10-21,F,340 Folsom Bend,Beverly Hills,PA,54606,US,+12250510730,hints1979@duck.com,C,,DH-P3109C,Catastrophic Plan,HDHP,2025-05-11,,,18,024,2,SPON216053,HLT
SUBI9WYPXGM,SUBI9WYPXGM,POL33855195,375-10-6001,Franco,Adolph,,1972-04-09,F,1173 Cottonwood Estate,Kalispell,CO,80321,US,+17542428616,presented2060@protonmail.com,A,,DH-P3109C,Catastrophic Plan,HDHP,2023-12-01,,,18,021,2,SPON800139,HLT
SUB9H8NHI0J,SUB9H8NHI0J,POL43251495,764-79-3584,Schwartz,Myron,,1945-09-19,F,1317 Circular Expressway,Liberty,KS,25716,US,+19062409551,dell1874@duck.com,A,,INVALID-PLAN,Invalid Plan,INVALID,2024-02-25,,,18,001,2,SPON480536,HLT
SUBNVNAFSMW,SUBNVNAFSMW,POL76075725,449-90-6543,Hancock,Tory,,1963-01-19,F,219 Minerva Estate,Hialeah,IL,37848,US,+16692341700,habitat1897@yandex.com,A,,DH-P3091B,Platinum Plan,EPO,2024-03-07,,,18,024,4,SPON191039,HLT
SUBO0AZXKRE,SUBO0AZXKRE,POL25000544,823-02-2997,Hicks,Hoyt,,2000-07-20,F,431 Jewett Pine,Bolingbrook,TN,00770,US,+17655702497,trainer1863@example.org,A,B,DH-P3109C,Catastrophic Plan,HDHP,2025-03-05,,,18,030,2,SPON543998,HLT
SUB34LQGXEJ,SUB34LQGXEJ,POL52176238,888-36-6440,Carney,Alexis,,1957-01-23,M,108 Laidley Field,Napa,WY,90815,US,+1-878-753-0105,for1808@example.org,A,,DH-P3678B,Gold Plan,PPO,2025-02-14,,,18,024,2,SPON357650,HLT
SUBP581DA19,SUBP581DA19,POL78904928,275-77-9274,Camacho,Rey,,1999-11-10,F,742 Wallace Pass,Lake Forest,VT,17580,US,+17733235747,austin1996@duck.com,A,A,DH-P3109C,Catastrophic Plan,HDHP,2024-11-08,,,18,021,2,SPON140357,HLT
SUB92FUEC4K,SUB92FUEC4K,POL81237606,611-17-5271,Martin,Adrian,,1986-04-02,M,1229 Bronte Square,Casa Grande,MN,89566,US,+18174830228,gardening1896@yandex.com,S,C,DH-P3091B,Platinum Plan,EPO,2025-02-03,,,18,021,2,SPON428578,HLT
SUBIED69BD5,SUBIED69BD5,POL91792880,130-56-3050,Hicks,Drusilla,,1941-12-23,F,692 Winter Court,Socorro,MO,44715,US,+19099677637,ought2058@yandex.com,A,,DH-P3156C,Silver Plan,HMO,2024-02-16,,,18,030,4,SPON781285,HLT
SUB43EF3UDW,SUB43EF3UDW,POL99281862,519-22-0178,Gonzales,Tifany,,1977-04-26,M,914 Cragmont Spur,Freeport,MN,09175,US,+1-956-713-5955,agree1896@yandex.com,A,B,DH-P3109C,Catastrophic Plan,HDHP,2025-04-29,,,18,030,2,SPON216107,HLT
SUB2ZCF5T28,SUB2ZCF5T28,POL53417831,179-61-4154,Waters,Edwardo,,1985-06-11,M,58 Innes Field,La Puente,TN,93678,US,+1-507-909-8272,genome2036@duck.com,A,A,DH-P3678B,Gold Plan,PPO,2025-07-05,,,18,021,2,SPON257167,HLT
SUB7WYUCQ7G,SUB7WYUCQ7G,POL58098373,164-14-7172,Alford,Irina,,2003-09-01,M,717 Music Concourse Alley,Naples,AL,12666,US,+16266998104,instruments1982@example.com,A,,DH-P3091B,Platinum Plan,EPO,2024-10-20,,,18,021,4,SPON793671,HLT
