claim_id,member_id,provider_id,provider_npi,provider_tax_id,provider_last_name,provider_first_name,provider_specialty,provider_street,provider_city,provider_state,provider_zip,member_last_name,member_first_name,member_dob,member_gender,service_date,billed_amount,claim_status,claim_frequency_code,claim_source_code,facility_type_code,location_type,procedure_code,procedure_description,diagnosis_codes,submission_date,enrollment_id
CLM2025413183,SUBRQDH7VUA,PROVH0VZKKNT,8181613832,TAX618804178,Wiley,Elden,Family Practice,85706 Hernandez Divide Apt. 457,Port Sophia,DE,21959,Webster,Mallie,1939-10-05,F,2025-09-08,5637.83,2,1,01,23,ER,99245,Medical service,F32.9|I25.10,2025-11-23,ENR18473820
CLM2025988549,SUBFR3IQGWR,PROVZO947KL3,5319494855,TAX792666711,Tillman,Milton,Pediatrics,4754 Davis Estates,Bradytown,DC,17210,Hampton,Jimmy,1957-01-29,F,2025-08-27,13671.02,4,1,01,22,OUTPATIENT,99204,Office/outpatient visit new,F32.9,2025-11-23,ENR22484722
CLM2025990598,SUBQZ953I1J,PROVHQVU62L2,0505439123,TAX682119181,Murray,Hong,Family Practice,43360 Jason Court Suite 110,Lake Blakechester,TX,57012,Mcintyre,Heath,2003-03-28,F,2025-10-17,14936.36,4,1,01,23,ER,99284,Medical service,M54.5|I10|N18.6|E11.65,2025-11-23,ENR34419195
CLM2025096136,SUBZYH0SJTE,PROVSRSFXI4T,7574016886,TAX367009145,Pratt,Pamula,Family Practice,229 Heather Squares Apt. 305,Barbarahaven,KY,79999,Dillon,Jamaal,1970-02-05,M,2025-11-15,13070.39,19,1,01,11,OFFICE,99204,Office/outpatient visit new,I25.10|N18.6|E78.5|M54.5,2025-11-23,ENR95709286
CLM2025348185,SUBLLOHLK7C,PROVJZ2EMTEB,3157824780,TAX265159734,Park,Kazuko,Internal Medicine,6523 Jennings Springs Suite 298,Lake Nathan,AR,27082,Holden,Zandra,2001-04-24,F,2024-07-26,8072.93,4,1,01,23,ER,99282,Medical service,I10,2025-11-23,ENR04369705
CLM2025139506,SUBEBFXB2A7,PROVURKN5NL0,1940034840,TAX018664325,Horton,Cecil,Family Practice,4839 Smith Spurs,Millerland,CT,95893,Graves,Marvis,2006-02-18,F,2025-09-23,12981.66,2,1,01,23,ER,99245,Medical service,I10,2025-11-23,ENR06166913
CLM2025532527,SUB5SSJEG2N,PROVE2TI76FG,0603265762,TAX807592572,Talley,Obdulia,Cardiology,7186 Anthony Motorway,Kevinstad,NE,11055,Sellers,Julio,1937-10-08,F,2025-11-20,4799.55,4,1,01,12,OUTPATIENT,99255,Medical service,I25.10|F32.9|E11.9|N18.6,2025-11-23,ENR51719615
CLM2025654265,SUBNGRJQZMX,PROVO2IITRD6,4230245351,TAX938575284,Sargent,Lawerence,Cardiology,26689 Morrison Parkways Apt. 780,Jackietown,IL,63861,Davis,Sheridan,1966-07-24,F,2025-09-17,-14557.59,22,1,01,23,ER,99283,Medical service,F32.9|J44.1|E78.5|E11.65,2025-11-23,ENR63346309
CLM2025812015,SUB017G75MN,PROVTOIEGDL6,1542872396,TAX692811992,Marshall,Chantay,Pediatrics,942 Paul Ways Apt. 969,Hayleyside,NY,78972,Gibbs,Ethyl,1995-01-09,M,2025-07-16,12755.25,21,1,01,23,ER,99284,Medical service,J18.9,2025-11-23,ENR75113644
CLM2025127650,SUBZYBQZ0X2,PROV4ZS202WK,4483280384,TAX673477761,Winters,Aleisha,Pediatrics,78181 Paul Isle,Carsonview,RI,72984,Peterson,Leonel,1940-01-12,F,2025-06-16,12196.33,1,1,01,11,OFFICE,99245,Medical service,M54.5,2025-11-23,ENR57131990
CLM2025252927,SUB1EGA6RCO,PROVPTNQYUWS,5460534519,TAX791397041,Guerra,Lucio,Family Practice,0443 Gregory Manors Apt. 348,Dixonmouth,ME,66616,Fox,Aurelio,1961-08-04,M,2025-11-21,10640.48,20,1,01,11,OFFICE,99285,Medical service,E11.65|J44.1|I25.10|M54.5,2025-11-23,ENR08793030
CLM2025000305,SUBHB86QUVD,PROV7MSMSTTG,5681807603,TAX813158354,Stark,Zackary,Pediatrics,9664 Sarah Gardens,Barbarafurt,DC,44266,Calderon,Jesse,2001-06-28,M,2025-03-04,1860.57,20,1,01,22,OUTPATIENT,80053,Medical service,Z13.9|Z79.899|Z00.121|Z00.00,2025-11-23,ENR24501410
CLM2025380118,SUBQYZUDEX7,PROV8LEOXY3L,0536554598,TAX138171140,Barrera,Hedy,Pediatrics,8210 Barnes Terrace,Port Dorothytown,UT,08046,Matthews,Mauricio,1982-09-29,F,2025-02-04,14901.88,1,1,01,23,ER,99284,Medical service,N18.6|F32.9|I10|I25.10,2025-11-23,ENR44171571
CLM2025359432,SUBG6YXI813,PROV07X3BNII,0769280948,TAX119976135,Haley,Sanda,Internal Medicine,303 Adam Mission Apt. 745,East Jennifer,NV,55184,Rodriguez,Marya,2004-03-11,F,2024-10-20,6901.74,2,1,01,23,ER,99281,Medical service,E78.5|E11.9|M54.5,2025-11-23,ENR78510044
CLM2025173355,SUB375LPZ9P,PROVS7UCB0D8,7203908165,TAX743713265,Cooper,Georgeanna,Family Practice,08087 Laura Throughway,Katherineport,FL,39782,Campbell,Wilbert,1961-03-27,F,2025-08-01,8716.65,2,1,01,23,ER,99282,Medical service,K59.00,2025-11-23,ENR15494675
CLM2025772276,SUB8J91I926,PROVHKHHLX2O,8353014272,TAX523730675,Waller,Jerrell,Family Practice,0250 Danny Fork,West Susan,FM,13517,Forbes,Setsuko,1935-05-28,M,2024-09-04,8696.96,1,1,01,11,OFFICE,80053,Medical service,I25.10,2025-11-23,ENR50698517
CLM2025926740,SUBCC5Z2Z46,PROVJWEXN4MG,5993093796,TAX349012021,Murphy,Carmina,Family Practice,631 Cook Shore,West Chase,TX,91608,Munoz,Casey,1964-12-15,M,2024-02-18,2687.75,2,1,01,23,ER,99281,Medical service,E11.65|F32.9,2025-11-23,ENR22102120
CLM2025882878,SUBA2XB8BVS,PROVF7JOY57U,8551150308,TAX119725936,Pacheco,Ethelene,Family Practice,796 Bryan Heights Apt. 293,New Ambertown,WI,26108,Battle,Neida,1950-03-09,M,2024-12-14,13508.73,4,1,01,23,ER,99284,Medical service,E11.9|E11.65|I10|J44.1,2025-11-23,ENR86257978
CLM2025459497,SUBSHGLHHVS,PROVPP4FZ65G,604269213614,TAX245299230,Carney,Emery,Cardiology,39586 Michael Inlet Apt. 431,South Samantha,MT,04053,Mccray,Vincenza,1997-03-13,F,2025-05-09,14645.24,3,1,01,22,OUTPATIENT,99255,Medical service,F32.9,2025-11-23,ENR68314674
CLM2025180519,SUB21MDR1AK,PROV7ISCQG0R,4136031756,TAX965952589,Strong,Rosy,Cardiology,897 Howard Junction,East Kevin,NM,74293,Peterson,Neely,1980-01-05,M,2025-09-13,7281.91,3,1,01,23,ER,99281,Medical service,F32.9|N18.6|J44.1,2025-11-23,ENR09635627
